CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_2	Hello	你好	こんにちは	Hola	Habari	Hej	สวัสดี	Halo	Xin chào	Olá	안녕하세요	မင်္ဂလာပါ
L_3	Loading....	资料载入中! 	読み込み中....	Cargando....	Inapakia....	Indlæser...	กำลังโหลด....	Memuat....	Đang tải....	Carregando....	로딩중....	တင်နေသည်....
L_4	Continue	继续	続く	Continuar	Endelea	Fortsætte	ดำเนินการต่อ	Melanjutkan	Tiếp tục	Continuar	계속하다	ဆက်ရန်
L_5	Don't show next time	下次不要显示	次回は表示しない	No mostrar la próxima vez	Usionyeshe wakati ujao	Vis ikke næste gang	อย่าแสดงครั้งต่อไป	Jangan tampilkan lain kali	Không hiển thị lần sau	Νέο πουtar a pidoma vaz 	다음에는 보여주지 마세요	နောက်တစ်ကြိမ် မပြပါနှင့်
L_6	Any 3 Symbol to win.	任 3 個符號即可獲勝。	3つのシンボルが揃えば勝ち。	Cualquier 3 símbolos para ganar.	Alama yoyote 3 kushinda.	Ethvert 3 symbol for at vinde.	สัญลักษณ์ใดๆ 3 อันเพื่อชนะ	3 Simbol apa saja untuk menang.	Bất kỳ 3 biểu tượng nào cũng thắng.	Quaisquer 3 símbolos para ganhar.	3개의 심볼을 맞추면 승리합니다.	အနိုင်ရရန် သင်္ကေတ ၃ ခု။
L_7	Special wheel,A variety of effects	專用輪子，多種效果	特殊ホイール、多彩な効果	Rueda especial, variedad de efectos.	Gurudumu maalum, athari mbalimbali	Specielt hjul, en række effekter	ล้อพิเศษ เอฟเฟกต์หลากหลาย	Roda khusus, Berbagai efek	Bánh xe đặc biệt, Nhiều hiệu ứng khác nhau	Roda especial, Uma variedade de efeitos	특수 휠, 다양한 효과	အထူးဘီး၊ သက်ရောက်မှုမျိုးစုံ
L_8	Volatility:	揮發性：	ボラティリティ:	Volatilidad:	Tete:	Volatilitet:	ความผันผวน:	Keriangan:	Độ biến động:	Pimentas	휘발성:	မတည်ငြိမ်မှု-
L_9	WIN	高分 	勝つ	GANAR	SHINDA	VINDE	ชนะ	MENANG	THẮNG	VITÓRIA	이기다	အနိုင်ရ
L_10	PLAY	PLAY	遊ぶ	JUGAR	CHEZA	SPIL	เล่น	BERMAIN	CHƠI	Jogar	놀다	ကစားပါ။
L_11	Balance	总分 	バランス	Balance	Mizani	Balance	สมดุล	Keseimbangan	Sự cân bằng	Saldo 	균형	လက်ကျန်
L_12	Bet:	押注 	ベット：	Apuesta:	Dau:	Vædde:	เดิมพัน:	Bertaruh:	Đặt cược:	Aposta:	내기:	လောင်းကြေး-
L_13	System	系统讯息	システム	Sistema	Mfumo	System	ระบบ	Sistem	Hệ thống	Sistema	체계	စနစ်
L_14	You have been idle for too long,please login again.	由于您的空闲时间过久,请重新登入。 	長時間アイドル状態が続いています。再度ログインしてください。	Ha estado inactivo durante demasiado tiempo. Inicie sesión nuevamente.	Umekuwa bila kufanya kitu kwa muda mrefu sana, tafadhali ingia tena.	Du har været inaktiv for længe, ​​log venligst ind igen.	คุณไม่ได้ใช้งานเป็นเวลานานเกินไป กรุณาเข้าสู่ระบบใหม่อีกครั้ง	Anda sudah lama tidak aktif,silakan masuk lagi.	Bạn đã không sử dụng quá lâu, vui lòng đăng nhập lại.	Você esteve ocioso por muito tempo, por favor faça o login novamente. 	너무 오랫동안 접속하지 않았습니다. 다시 로그인해 주세요.	သင် ပျင်းရိနေသည်မှာ ကြာပြီ၊ ကျေးဇူးပြု၍ ထပ်မံဝင်ရောက်ပါ။
L_15	Insufficient balance.	您的额不足。 	残高が不足しています。	Saldo insuficiente.	Usawa usiotosha.	Utilstrækkelig balance.	ยอดเงินคงเหลือไม่เพียงพอ	Saldo tidak mencukupi.	Số dư không đủ.	Saldo insuficiente.	잔액이 부족합니다.	လက်ကျန်မလုံလောက်။
L_16	Confirm	确定 	確認する	Confirmar	Thibitisha	Bekræfte	ยืนยัน	Mengonfirmasi	Xác nhận	Confirmar	확인하다	အတည်ပြုပါ။
